INFO   | jvm 1    | srvmain | 2018/01/07 13:43:45.964 | INFO  [localhost-startStop-1] [HybrisContextFactory] - Refreshing SpringContext (Global context) took: (268.4 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:45.964 | INFO  [localhost-startStop-1] [HybrisContextFactory] Initializing <<global>> Spring ApplicationContext took: (712.4 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:45.964 | WARN  [localhost-startStop-1] [AutowiredAnnotationBeanPostProcessor] Inconsistent constructor declaration on bean with name 'defaultCacheController': single autowire-marked constructor flagged as optional - this constructor is effectively required since there is no default constructor to fall back to: public de.hybris.platform.regioncache.DefaultCacheController(de.hybris.platform.regioncache.CacheConfiguration)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:45.964 | WARN  [localhost-startStop-1] [AutowiredAnnotationBeanPostProcessor] Inconsistent constructor declaration on bean with name 'defaultCacheController': single autowire-marked constructor flagged as optional - this constructor is effectively required since there is no default constructor to fall back to: public de.hybris.platform.regioncache.DefaultCacheController(de.hybris.platform.regioncache.CacheConfiguration)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.165 | INFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion entityCacheRegion, eviction policy FIFO, size 100000
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.265 | INFO  [localhost-startStop-1] [EHCacheRegion] EHCacheRegion queryCacheRegion, eviction policy FIFO, size 20000
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Regioncache initialized with region count 5
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: typesystemCacheRegion, size: 0, types: [81, 82, 83, 84, 87], statistics: true, class: class de.hybris.platform.regioncache.region.impl.UnlimitedCacheRegion
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: entityCacheRegion, size: 100000, types: [__ALL_TYPES__, __NO_QUERY__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: queryCacheRegion, size: 20000, types: [__QUERY_CACHE__], exclusive computation: false, statistics: true, class: class de.hybris.platform.regioncache.region.impl.EHCacheRegion
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: mediaCacheRegion, size: 0, types: [__MEDIA__cache], statistics: true, class: class de.hybris.platform.media.storage.impl.MediaCacheRegion
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Cache region: Name: scriptsCacheRegion, size: 0, types: [__SCRIPT__], statistics: true, class: class de.hybris.platform.scripting.engine.internal.cache.impl.ScriptsCacheRegion
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:46.365 | INFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener RegionCacheAdapter(1774417257) - <<master>> on cache controller. Currently registered 1
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.775 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (core) located in (core-spring.xml,persistence-spring.xml,core-media-spring.xml,core-profiling-spring.xml,core-jmx-spring.xml,core-filter-spring.xml,servicelayer-spring.xml,user-spring.xml,security-spring.xml,media-spring.xml,i18n-spring.xml,interceptor-spring.xml,event-spring.xml) took: (330.4 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.775 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (scripting) located in (scripting-spring.xml) took: (23.70 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.775 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (commons) located in (commons-spring.xml) took: (15.34 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.876 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (processing) located in (processing-spring.xml,cronjob-spring.xml,task-spring.xml,processengine-spring.xml,processing-jmx-spring.xml) took: (88.53 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.876 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (impex) located in (impex-spring.xml) took: (16.33 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.976 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (validation) located in (validation-spring.xml) took: (30.95 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:48.976 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (europe1) located in (europe1-spring.xml) took: (16.34 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:49.077 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (platformservices) located in (catalog-spring.xml,order-spring.xml,product-spring.xml,category-spring.xml,classification-spring.xml,jobs-spring.xml,converters-spring.xml) took: (146.0 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:49.177 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (workflow) located in (workflow-spring.xml) took: (17.15 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:49.177 | INFO  [localhost-startStop-1] [HybrisContextFactory] Loading <<application>> spring config <master> from extension (comments) located in (comments-spring.xml) took: (17.12 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:51.383 | INFO  [localhost-startStop-1] [DefaultCacheController] Registered Listener de.hybris.platform.media.storage.impl.DefaultLocalMediaFileCacheService$MediaCacheLifecycleCallback@2b94f4e on cache controller. Currently registered 2
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:52.888 | INFO  [localhost-startStop-1] [Reflections] Reflections took 87 ms to scan 1 urls, producing 9 keys and 16 values 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:52.990 | INFO  [localhost-startStop-1] [Reflections] Reflections took 1 ms to scan 1 urls, producing 2 keys and 5 values 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.311 | INFO  [localhost-startStop-1] [HybrisContextFactory] - Refreshing SpringContext (hybris Application context - master) took: (9.157 s)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.311 | INFO  [localhost-startStop-1] [HybrisContextFactory] Initializing application Spring ApplicationContext for tenant master  took: (9.871 s)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.311 | INFO  [localhost-startStop-1] [DefaultBroadcastService] updating cluster island ID -1->15481123719086096
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.613 | INFO  [localhost-startStop-1] [DefaultTaskService] Task engine starting up (min:10 max:10 idle:20s interval:10s)
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.613 | INFO  [Task-master-poll] [DefaultTaskService] Polling thread started.
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.613 | INFO  [Task-master-poll] [DefaultModelConverterRegistry] loading model converters: 
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:58.613 | INFO  [Task-master-poll] [DefaultModelConverterRegistry] 	pre-fetch mode:default
